City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,vorkuta,67.5,64.0,-0.36,96,100,5.16,RU,1699551257
120,papatowai,-46.5619,169.4708,4.39,76,30,1.15,NZ,1699551257
121,calvinia,-31.4707,19.776,24.74,18,0,2.37,ZA,1699551548
122,gadzhiyevo,69.2551,33.3362,-6.33,93,92,4.67,RU,1699551447
123,cabo san lucas,22.8909,-109.9124,29.73,63,0,1.54,MX,1699551143
124,fort mcmurray,56.7268,-111.381,-3.23,86,100,2.57,CA,1699551497
125,virginia beach,36.8529,-75.978,26.02,59,75,4.12,US,1699550988
126,quepos,9.4236,-84.1652,29.59,74,21,2.62,CR,1699551550
127,vila franca do campo,37.7167,-25.4333,21.23,99,99,5.33,PT,1699551312
128,keflavik,64.0049,-22.5624,4.24,75,0,1.03,IS,1699551212
129,kailua-kona,19.6406,-155.9956,24.22,76,0,2.24,US,1699551411
130,kindu,-2.95,25.95,21.03,98,100,1.02,CD,1699551286
131,bredasdorp,-34.5322,20.0403,15.8,73,0,3.42,ZA,1699551244
132,bethel,41.3712,-73.414,12.49,73,100,1.54,US,1699551157
133,upington,-28.4478,21.2561,33.21,12,0,1.54,ZA,1699551407
134,port pirie,-33.1833,138.0167,24.24,35,21,1.41,AU,1699551554
135,shache,38.4167,77.2406,8.92,23,97,1.39,CN,1699551351
136,kayangel,8.0823,134.7173,29.1,74,67,4.8,PW,1699551555
137,jayapura,-2.5333,140.7,26.66,88,100,2.48,ID,1699551235
138,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699551224
139,guerrero negro,27.9769,-114.0611,22.73,46,0,0.71,MX,1699551281
140,tsiombe,-25.3,45.4833,23.87,61,45,5.02,MG,1699551274
141,namibe,-15.1961,12.1522,20.47,77,25,4.17,AO,1699551241
142,alindao,5.0267,21.2088,22.62,98,97,2.54,CF,1699551557
143,coquimbo,-29.9533,-71.3436,15.85,82,75,4.12,CL,1699551128
144,cidreira,-30.1811,-50.2056,17.48,88,100,2.31,BR,1699551558
145,i-n-salah,27.1935,2.4607,26.81,16,28,1.04,DZ,1699551558
146,kashgar,39.4547,75.9797,10.56,43,75,1.0,CN,1699551559
147,murzuq,25.9155,13.9184,24.58,19,100,3.95,LY,1699551559
148,happy valley-goose bay,53.3168,-60.3315,0.17,64,100,4.12,CA,1699551438
149,tionk essil,12.7856,-16.5217,31.03,39,100,0.99,SN,1699551489
150,udachny,66.4167,112.4,-13.08,84,100,1.53,RU,1699551226
151,tangalle,6.024,80.7911,24.52,93,100,2.93,LK,1699551561
152,hammerfest,70.6634,23.6821,-0.75,74,0,2.57,NO,1699551209
153,lompoc,34.6391,-120.4579,19.96,55,0,2.57,US,1699551373
154,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,73,20,9.39,RU,1699551243
155,hadibu,12.65,54.0333,26.63,74,14,4.31,YE,1699551335
156,dryden,49.7833,-92.7503,0.16,86,75,2.57,CA,1699551293
157,susuman,62.7833,148.1667,-30.71,99,92,0.23,RU,1699551562
158,tsengel,49.4783,100.8894,-15.71,81,2,0.71,MN,1699551436
159,bardai,11.65,7.2333,26.14,21,47,1.68,NG,1699551278
160,hermanus,-34.4187,19.2345,18.01,69,0,4.73,ZA,1699551178
161,codrington,-38.2667,141.9667,9.47,91,68,2.46,AU,1699551283
162,cambridge,43.3601,-80.3127,7.31,89,100,7.2,CA,1699551433
163,sinabang,2.4803,96.3801,25.71,84,100,0.21,ID,1699551280
164,bridgewater,44.3835,-64.5155,5.35,76,92,5.66,CA,1699551285
165,newman,37.3138,-121.0208,14.02,49,16,0.92,US,1699551383
166,cannonvale,-20.2833,148.7,22.66,75,1,4.58,AU,1699551566
167,afaahiti,-17.75,-149.2833,22.81,86,79,6.58,PF,1699551191
168,dinard,48.6314,-2.0614,9.21,82,99,7.2,FR,1699551567
169,caibiran,11.5717,124.5822,26.29,88,40,2.37,PH,1699551568
170,la passe,45.5549,-0.8967,12.23,77,68,10.38,FR,1699551202
171,olinda,-8.0089,-34.8553,29.85,58,20,4.63,BR,1699551570
